title,code,url,types,featured,applications_open,applications_close,intake,duration,fees,area_of_interest
Business Negotiation,(BUS356),https://www.suss.edu.sg/courses/detail/bus356,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Business Administration
Business Valuation,(ACC408),https://www.suss.edu.sg/courses/detail/acc408,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Business Administration
"Business, Government and Society",(POL205),https://www.suss.edu.sg/courses/detail/pol205,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Humanities and Social Sciences
Calculus II,(MTH108),https://www.suss.edu.sg/courses/detail/mth108,Modular Undergraduate Course,FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Science and Technology
Cardiovascular Bioengineering,(BME352),https://www.suss.edu.sg/courses/detail/bme352,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1529,Science and Technology
Category Management and Supplier Evaluation,(PRM315),https://www.suss.edu.sg/courses/detail/prm315,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Management
Children's Literature,(ELT255),https://www.suss.edu.sg/courses/detail/elt255,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Linguistics and Languages
China’s Rise and US-China Rivalry,(POL361),https://www.suss.edu.sg/courses/detail/pol361,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Humanities and Social Sciences
Chinese-English Translation of Literary Works,(CTI303),https://www.suss.edu.sg/courses/detail/cti303,"IHL Micro-Credentials, Modular Undergraduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$1392,Linguistics and Languages
Circular Sustainable FM,(FMT501),https://www.suss.edu.sg/courses/detail/fmt501,"IHL Micro-Credentials, Modular Graduate Course",FALSE,01-Oct-24,15-Nov-24,Jan-25,6 months,$2640,Built Environment
